                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94558,                0.63948,                 1.0399,                 0.8724,                 0.7446,                0.84369,                0.61982,                0.98792,                0.62389,                 1.0503,               0.006634,               0.006634,               0.006634
                     36,                0.93722,                 0.6335,                 1.0379,                0.85683,                0.76883,                0.85276,                0.62957,                0.97274,                0.60865,                 1.0416,               0.006535,               0.006535,               0.006535
                     37,                0.93991,                0.63454,                 1.0394,                0.88125,                0.74211,                0.84876,                0.62558,                0.98234,                0.62244,                 1.0458,               0.006436,               0.006436,               0.006436
                     38,                0.93881,                 0.6332,                 1.0336,                0.88003,                0.74664,                0.84642,                0.62495,                0.97599,                 0.6176,                  1.045,               0.006337,               0.006337,               0.006337
                     39,                0.93228,                0.62155,                 1.0344,                0.86443,                0.75648,                0.84626,                0.62718,                0.96953,                0.61854,                 1.0397,               0.006238,               0.006238,               0.006238
                     40,                0.92182,                0.61522,                 1.0249,                0.87388,                0.74269,                0.84823,                0.63056,                 0.9625,                0.61056,                 1.0359,               0.006139,               0.006139,               0.006139
                     41,                0.92486,                0.61167,                 1.0292,                0.87338,                0.75577,                0.85483,                0.63314,                0.97124,                 0.6086,                 1.0431,                0.00604,                0.00604,                0.00604
                     42,                0.91602,                 0.6044,                 1.0283,                0.87029,                0.76045,                0.85653,                 0.6348,                0.96654,                0.59767,                 1.0434,               0.005941,               0.005941,               0.005941
                     43,                0.91434,                0.60411,                 1.0221,                0.86266,                0.76061,                 0.8485,                0.63047,                0.97055,                0.60444,                 1.0383,               0.005842,               0.005842,               0.005842
                     44,                0.90505,                0.59568,                 1.0173,                0.87705,                0.75544,                 0.8546,                0.63614,                0.96561,                  0.592,                 1.0452,               0.005743,               0.005743,               0.005743
                     45,                0.90197,                0.59156,                 1.0184,                0.88617,                0.75122,                0.85331,                0.63698,                 0.9564,                0.59258,                 1.0374,               0.005644,               0.005644,               0.005644
                     46,                0.89883,                0.59153,                 1.0184,                0.88395,                0.75433,                 0.8543,                0.63485,                 0.9666,                0.59239,                 1.0434,               0.005545,               0.005545,               0.005545
                     47,                0.89832,                0.58487,                 1.0107,                0.88281,                0.75705,                0.85812,                0.63988,                0.96326,                0.58943,                 1.0271,               0.005446,               0.005446,               0.005446
                     48,                0.89334,                0.58117,                 1.0091,                0.87954,                0.76374,                0.85735,                0.63932,                0.96388,                0.58765,                 1.0306,               0.005347,               0.005347,               0.005347
                     49,                0.88853,                0.57763,                 1.0097,                0.87663,                0.75808,                0.85491,                0.63557,                0.96197,                0.59433,                 1.0377,               0.005248,               0.005248,               0.005248
                     50,                0.88398,                0.57308,                 1.0104,                0.88565,                 0.7652,                0.86056,                0.63865,                0.96675,                0.58735,                 1.0441,               0.005149,               0.005149,               0.005149
                     51,                0.88086,                0.57472,                 1.0093,                0.89291,                0.75781,                0.86052,                0.63817,                 0.9687,                0.58324,                 1.0423,                0.00505,                0.00505,                0.00505
                     52,                0.87654,                0.56572,                  1.006,                0.87749,                0.77016,                0.85975,                0.64111,                 0.9682,                0.58106,                 1.0458,               0.004951,               0.004951,               0.004951
                     53,                  0.878,                0.56568,                  1.005,                0.86879,                0.76765,                0.85537,                0.63693,                0.96642,                0.58942,                 1.0348,               0.004852,               0.004852,               0.004852
                     54,                 0.8762,                0.55786,                0.99934,                0.89487,                0.75998,                0.85934,                0.64173,                0.95739,                0.58077,                 1.0361,               0.004753,               0.004753,               0.004753
                     55,                0.87092,                0.55857,                  1.003,                0.87714,                0.77285,                0.86202,                0.64307,                0.95913,                0.57742,                 1.0424,               0.004654,               0.004654,               0.004654
                     56,                0.86804,                0.55158,                0.99921,                0.88558,                0.76206,                0.86022,                0.64118,                0.95476,                0.57277,                 1.0336,               0.004555,               0.004555,               0.004555
                     57,                0.86226,                0.55131,                0.99658,                0.88987,                0.76444,                0.86217,                0.64051,                0.95696,                0.57767,                  1.038,               0.004456,               0.004456,               0.004456
                     58,                0.86082,                0.54498,                0.99683,                0.88436,                0.76968,                0.86331,                0.64394,                0.96282,                0.57449,                 1.0368,               0.004357,               0.004357,               0.004357
                     59,                0.85869,                0.54367,                 0.9914,                  0.872,                0.77021,                0.86101,                0.64289,                0.96232,                0.57466,                  1.038,               0.004258,               0.004258,               0.004258
                     60,                 0.8534,                0.54083,                0.99538,                0.87935,                0.77375,                0.86339,                0.64372,                0.95668,                0.57293,                   1.04,               0.004159,               0.004159,               0.004159
                     61,                0.84707,                 0.5334,                0.98984,                0.88245,                0.77737,                0.86603,                0.64553,                0.95695,                0.57376,                  1.038,                0.00406,                0.00406,                0.00406
                     62,                0.84747,                0.53227,                 0.9895,                0.88663,                0.77277,                0.86446,                0.64709,                0.95581,                0.57252,                 1.0395,               0.003961,               0.003961,               0.003961
                     63,                0.84162,                0.53023,                0.98834,                0.88841,                0.77434,                0.86493,                0.64525,                0.95858,                0.57174,                 1.0435,               0.003862,               0.003862,               0.003862
                     64,                0.83892,                0.52725,                0.98501,                0.88182,                0.77674,                 0.8657,                0.64478,                 0.9614,                0.56774,                 1.0414,               0.003763,               0.003763,               0.003763
                     65,                0.83091,                0.51751,                0.98546,                 0.8782,                0.78053,                0.86341,                0.64546,                0.95791,                0.56521,                 1.0413,               0.003664,               0.003664,               0.003664
                     66,                 0.8326,                0.51812,                0.97968,                0.87066,                 0.7869,                 0.8654,                0.64683,                0.95703,                0.56475,                 1.0312,               0.003565,               0.003565,               0.003565
                     67,                0.82585,                0.51283,                0.97596,                0.87894,                0.77914,                0.86467,                0.64648,                0.95571,                0.56642,                 1.0329,               0.003466,               0.003466,               0.003466
                     68,                 0.8261,                0.51102,                0.97839,                  0.884,                0.77792,                 0.8633,                0.64593,                0.95673,                0.56938,                 1.0327,               0.003367,               0.003367,               0.003367
                     69,                0.81956,                0.50532,                0.97539,                0.88707,                 0.7741,                0.86564,                0.64753,                0.95487,                0.56791,                 1.0369,               0.003268,               0.003268,               0.003268
                     70,                0.81574,                0.50171,                0.97138,                0.86661,                0.79087,                0.86554,                0.64799,                0.95665,                0.57022,                 1.0395,               0.003169,               0.003169,               0.003169
                     71,                0.81502,                0.49846,                0.96936,                0.88496,                0.78627,                 0.8666,                0.64836,                0.96048,                0.56365,                 1.0401,                0.00307,                0.00307,                0.00307
                     72,                0.80951,                0.49509,                0.97074,                0.88172,                0.78281,                0.86796,                 0.6494,                0.95925,                0.56526,                 1.0409,               0.002971,               0.002971,               0.002971
